district_id,province_id,district_name,district_name_en,type
760,79,Quận 1,1,urban
771,79,Quận 10,10,urban
772,79,Quận 11,11,urban
761,79,Quận 12,12,urban
770,79,Quận 3,3,urban
773,79,Quận 4,4,urban
774,79,Quận 5,5,urban
775,79,Quận 6,6,urban
778,79,Quận 7,7,urban
776,79,Quận 8,8,urban
481,46,Huyện A Lưới,A Luoi,rural
908,91,Huyện An Biên,An Bien,rural
312,31,Huyện An Dương,An Duong,rural
623,64,Thị Xã An Khê,An Khe,town
542,52,Huyện An Lão,An Lao,rural
313,31,Huyện An Lão,An Lao,rural
909,91,Huyện An Minh,An Minh,rural
549,52,Thị Xã An Nhơn,An Nhon,town
886,89,Huyện An Phú,An Phu,rural
329,33,Huyện Ân Thi,An Thi,rural
424,40,Huyện Anh Sơn,Anh Son,rural
624,64,Thị Xã Ayun Pa,Ayun Pa,town
61,6,Huyện Ba Bể,Ba Be,rural
202,22,Huyện Ba Chẽ,Ba Che,rural
748,77,Thành Phố Bà Rịa,Ba Ria,city
386,38,Huyện Bá Thước,Ba Thuoc,rural
535,51,Huyện Ba Tơ,Ba To,rural
836,83,Huyện Ba Tri,Ba Tri,rural
271,1,Huyện Ba Vì,Ba Vi,rural
1,1,Quận Ba Đình,Ba Dinh,urban
458,44,Thị Xã Ba Đồn,Ba Don,town
584,58,Huyện Bác Ái,Bac Ai,rural
596,60,Huyện Bắc Bình,Bac Binh,rural
213,24,Thành Phố Bắc Giang,Bac Giang,city
85,10,Huyện Bắc Hà,Bac Ha,rural
58,6,Thành Phố Bắc Kạn,Bac Kan,city
954,95,Thành Phố Bạc Liêu,Bac Lieu,city
31,2,Huyện Bắc Mê,Bac Me,rural
256,27,Thành Phố Bắc Ninh,Bac Ninh,city
34,2,Huyện Bắc Quang,Bac Quang,rural
185,20,Huyện Bắc Sơn,Bac Son,rural
726,74,Huyện Bắc Tân Uyên,Bac Tan Uyen,rural
515,49,Huyện Bắc Trà My,Bac Tra My,rural
21,1,Quận Bắc Từ Liêm,Bac Tu Liem,urban
121,14,Huyện Bắc Yên,Bac Yen,rural
318,31,Huyện Bạch Long Vĩ,Bach Long Vi,rural
63,6,Huyện Bạch Thông,Bach Thong,rural
43,4,Huyện Bảo Lạc,Bao Lac,rural
42,4,Huyện Bảo Lâm,Bao Lam,rural
680,68,Huyện Bảo Lâm,Bao Lam,rural
673,68,Thành Phố Bảo Lộc,Bao Loc,city
86,10,Huyện Bảo Thắng,Bao Thang,rural
87,10,Huyện Bảo Yên,Bao Yen,rural
82,10,Huyện Bát Xát,Bat Xat,rural
719,74,Huyện Bàu Bàng,Bau Bang,rural
721,74,Thị Xã Bến Cát,Ben Cat,town
711,72,Huyện Bến Cầu,Ben Cau,rural
803,80,Huyện Bến Lức,Ben Luc,rural
829,83,Thành Phố Bến Tre,Ben Tre,city
731,75,Thành Phố Biên Hòa,Bien Hoa,city
381,38,Thị Xã Bỉm Sơn,Bim Son,town
785,79,Huyện Bình Chánh,Binh Chanh,rural
181,20,Huyện Bình Gia,Binh Gia,rural
296,30,Huyện Bình Giang,Binh Giang,rural
198,22,Huyện Bình Liêu,Binh Lieu,rural
690,70,Thị Xã Bình Long,Binh Long,town
352,35,Huyện Bình Lục,Binh Luc,rural
861,86,Thị Xã Bình Minh,Binh Minh,town
524,51,Huyện Bình Sơn,Binh Son,rural
777,79,Quận Bình Tân,Binh Tan,urban
863,86,Huyện Bình Tân,Binh Tan,rural
765,79,Quận Bình Thạnh,Binh Thanh,urban
918,92,Quận Bình Thuỷ,Binh Thuy,urban
249,26,Huyện Bình Xuyên,Binh Xuyen,rural
835,83,Huyện Bình Đại,Binh Dai,rural
455,44,Huyện Bố Trạch,Bo Trach,rural
691,70,Huyện Bù Gia Mập,Bu Gia Map,rural
