ward_id,district_id,province_id,ward_name,ward_name_en,type
31732,948,94,Phường 1,1,ward
31783,950,94,Phường 1,1,ward
31825,954,95,Phường 1,1,ward
31942,959,95,Phường 1,1,ward
32005,964,96,Phường 1,1,ward
31513,941,94,Phường 1,1,ward
29239,842,84,Phường 1,1,ward
29512,851,84,Phường 1,1,ward
29548,855,86,Phường 1,1,ward
29866,866,87,Phường 1,1,ward
29905,867,87,Phường 1,1,ward
25456,703,72,Phường 1,1,ward
24784,672,68,Phường 1,1,ward
24823,673,68,Phường 1,1,ward
27694,794,80,Phường 1,1,ward
27787,795,80,Phường 1,1,ward
28261,815,82,Phường 1,1,ward
28303,816,82,Phường 1,1,ward
28435,817,82,Phường 1,1,ward
22015,555,54,Phường 1,1,ward
26506,747,77,Phường 1,1,ward
26896,764,79,Phường 1,1,ward
26944,765,79,Phường 1,1,ward
26977,766,79,Phường 1,1,ward
27058,768,79,Phường 1,1,ward
27160,770,79,Phường 1,1,ward
27184,771,79,Phường 1,1,ward
27247,772,79,Phường 1,1,ward
27298,773,79,Phường 1,1,ward
27325,774,79,Phường 1,1,ward
27370,775,79,Phường 1,1,ward
27394,776,79,Phường 1,1,ward
19333,461,45,Phường 1,1,ward
19357,462,45,Phường 1,1,ward
26536,747,77,Phường 10,10,ward
26884,764,79,Phường 10,10,ward
26992,766,79,Phường 10,10,ward
27070,768,79,Phường 10,10,ward
27145,770,79,Phường 10,10,ward
27178,771,79,Phường 10,10,ward
27223,772,79,Phường 10,10,ward
27271,773,79,Phường 10,10,ward
27340,774,79,Phường 10,10,ward
27385,775,79,Phường 10,10,ward
27406,776,79,Phường 10,10,ward
31525,941,94,Phường 10,10,ward
24796,672,68,Phường 10,10,ward
28276,815,82,Phường 10,10,ward
26539,747,77,Phường 11,11,ward
26899,764,79,Phường 11,11,ward
26908,765,79,Phường 11,11,ward
26983,766,79,Phường 11,11,ward
27073,768,79,Phường 11,11,ward
27133,770,79,Phường 11,11,ward
27175,771,79,Phường 11,11,ward
27217,772,79,Phường 11,11,ward
27328,774,79,Phường 11,11,ward
27364,775,79,Phường 11,11,ward
27400,776,79,Phường 11,11,ward
29863,866,87,Phường 11,11,ward
24799,672,68,Phường 11,11,ward
24775,672,68,Phường 12,12,ward
26542,747,77,Phường 12,12,ward
26881,764,79,Phường 12,12,ward
26917,765,79,Phường 12,12,ward
26971,766,79,Phường 12,12,ward
27130,770,79,Phường 12,12,ward
27172,771,79,Phường 12,12,ward
27235,772,79,Phường 12,12,ward
27310,774,79,Phường 12,12,ward
27358,775,79,Phường 12,12,ward
27415,776,79,Phường 12,12,ward
26872,764,79,Phường 13,13,ward
26905,765,79,Phường 13,13,ward
26974,766,79,Phường 13,13,ward
27085,768,79,Phường 13,13,ward
27136,770,79,Phường 13,13,ward
27166,771,79,Phường 13,13,ward
27226,772,79,Phường 13,13,ward
27259,773,79,Phường 13,13,ward
27343,774,79,Phường 13,13,ward
27349,775,79,Phường 13,13,ward
27412,776,79,Phường 13,13,ward
26882,764,79,Phường 14,14,ward
26935,765,79,Phường 14,14,ward
27004,766,79,Phường 14,14,ward
27127,770,79,Phường 14,14,ward
27169,771,79,Phường 14,14,ward
27214,772,79,Phường 14,14,ward
27280,773,79,Phường 14,14,ward
27331,774,79,Phường 14,14,ward
27346,775,79,Phường 14,14,ward
27421,776,79,Phường 14,14,ward
26869,764,79,Phường 15,15,ward
26938,765,79,Phường 15,15,ward
27007,766,79,Phường 15,15,ward
27067,768,79,Phường 15,15,ward
27163,771,79,Phường 15,15,ward
27208,772,79,Phường 15,15,ward
27295,773,79,Phường 15,15,ward
27427,776,79,Phường 15,15,ward
26878,764,79,Phường 16,16,ward
27253,772,79,Phường 16,16,ward
27289,773,79,Phường 16,16,ward
27430,776,79,Phường 16,16,ward
26875,764,79,Phường 17,17,ward
26950,765,79,Phường 17,17,ward
27076,768,79,Phường 17,17,ward
27277,773,79,Phường 18,18,ward
26959,765,79,Phường 19,19,ward
26509,747,77,Phường 2,2,ward
26941,765,79,Phường 2,2,ward
26965,766,79,Phường 2,2,ward
27061,768,79,Phường 2,2,ward
27157,770,79,Phường 2,2,ward
27190,771,79,Phường 2,2,ward
27250,772,79,Phường 2,2,ward
27292,773,79,Phường 2,2,ward
27313,774,79,Phường 2,2,ward
27367,775,79,Phường 2,2,ward
27391,776,79,Phường 2,2,ward
24781,672,68,Phường 2,2,ward
24820,673,68,Phường 2,2,ward
25468,703,72,Phường 2,2,ward
31735,948,94,Phường 2,2,ward
31801,950,94,Phường 2,2,ward
31813,954,95,Phường 2,2,ward
32011,964,96,Phường 2,2,ward
27688,794,80,Phường 2,2,ward
27788,795,80,Phường 2,2,ward
28264,815,82,Phường 2,2,ward
28297,816,82,Phường 2,2,ward
28436,817,82,Phường 2,2,ward
29245,842,84,Phường 2,2,ward
29516,851,84,Phường 2,2,ward
29551,855,86,Phường 2,2,ward
29869,866,87,Phường 2,2,ward
29911,867,87,Phường 2,2,ward
22021,555,54,Phường 2,2,ward
31510,941,94,Phường 2,2,ward
19342,461,45,Phường 2,2,ward
19360,462,45,Phường 2,2,ward
26953,765,79,Phường 21,21,ward
26956,765,79,Phường 22,22,ward
26929,765,79,Phường 24,24,ward
26920,765,79,Phường 25,25,ward
26914,765,79,Phường 26,26,ward
26911,765,79,Phường 27,27,ward
26962,765,79,Phường 28,28,ward
26512,747,77,Phường 3,3,ward
26902,764,79,Phường 3,3,ward
26947,765,79,Phường 3,3,ward
26980,766,79,Phường 3,3,ward
27055,768,79,Phường 3,3,ward
27154,770,79,Phường 3,3,ward
27220,772,79,Phường 3,3,ward
27286,773,79,Phường 3,3,ward
27307,774,79,Phường 3,3,ward
27379,775,79,Phường 3,3,ward
27397,776,79,Phường 3,3,ward
31519,941,94,Phường 3,3,ward
31747,948,94,Phường 3,3,ward
31816,954,95,Phường 3,3,ward
24802,672,68,Phường 3,3,ward
25459,703,72,Phường 3,3,ward
22027,555,54,Phường 3,3,ward
27697,794,80,Phường 3,3,ward
27806,795,80,Phường 3,3,ward
28258,815,82,Phường 3,3,ward
28294,816,82,Phường 3,3,ward
28437,817,82,Phường 3,3,ward
29242,842,84,Phường 3,3,ward
29557,855,86,Phường 3,3,ward
29875,866,87,Phường 3,3,ward
29902,867,87,Phường 3,3,ward
19354,461,45,Phường 3,3,ward
19361,462,45,Phường 3,3,ward
19345,461,45,Phường 4,4,ward
29236,842,84,Phường 4,4,ward
29554,855,86,Phường 4,4,ward
29872,866,87,Phường 4,4,ward
29908,867,87,Phường 4,4,ward
24793,672,68,Phường 4,4,ward
31516,941,94,Phường 4,4,ward
26515,747,77,Phường 4,4,ward
26893,764,79,Phường 4,4,ward
26968,766,79,Phường 4,4,ward
27043,768,79,Phường 4,4,ward
27148,770,79,Phường 4,4,ward
27193,771,79,Phường 4,4,ward
27244,772,79,Phường 4,4,ward
27283,773,79,Phường 4,4,ward
27301,774,79,Phường 4,4,ward
27373,775,79,Phường 4,4,ward
27409,776,79,Phường 4,4,ward
32002,964,96,Phường 4,4,ward
27691,794,80,Phường 4,4,ward
28252,815,82,Phường 4,4,ward
28300,816,82,Phường 4,4,ward
28439,817,82,Phường 4,4,ward
28765,829,83,Phường 4,4,ward
25462,703,72,Phường 4,4,ward
22030,555,54,Phường 4,4,ward
22033,555,54,Phường 5,5,ward
26518,747,77,Phường 5,5,ward
26887,764,79,Phường 5,5,ward
26923,765,79,Phường 5,5,ward
26989,766,79,Phường 5,5,ward
27046,768,79,Phường 5,5,ward
27151,770,79,Phường 5,5,ward
27199,771,79,Phường 5,5,ward
27211,772,79,Phường 5,5,ward
27334,774,79,Phường 5,5,ward
27361,775,79,Phường 5,5,ward
27418,776,79,Phường 5,5,ward
24790,672,68,Phường 5,5,ward
29248,842,84,Phường 5,5,ward
29545,855,86,Phường 5,5,ward
31498,941,94,Phường 5,5,ward
31819,954,95,Phường 5,5,ward
32008,964,96,Phường 5,5,ward
27685,794,80,Phường 5,5,ward
28249,815,82,Phường 5,5,ward
28306,816,82,Phường 5,5,ward
28440,817,82,Phường 5,5,ward
28768,829,83,Phường 5,5,ward
19348,461,45,Phường 5,5,ward
27700,794,80,Phường 6,6,ward
28270,815,82,Phường 6,6,ward
28762,829,83,Phường 6,6,ward
29251,842,84,Phường 6,6,ward
29878,866,87,Phường 6,6,ward
26876,764,79,Phường 6,6,ward
26932,765,79,Phường 6,6,ward
26995,766,79,Phường 6,6,ward
27202,771,79,Phường 6,6,ward
27241,772,79,Phường 6,6,ward
27265,773,79,Phường 6,6,ward
27337,774,79,Phường 6,6,ward
27355,775,79,Phường 6,6,ward
27424,776,79,Phường 6,6,ward
22039,555,54,Phường 6,6,ward
24787,672,68,Phường 6,6,ward
32017,964,96,Phường 6,6,ward
31507,941,94,Phường 6,6,ward
31501,941,94,Phường 7,7,ward
22036,555,54,Phường 7,7,ward
29254,842,84,Phường 7,7,ward
27698,794,80,Phường 7,7,ward
28255,815,82,Phường 7,7,ward
28780,829,83,Phường 7,7,ward
26524,747,77,Phường 7,7,ward
26890,764,79,Phường 7,7,ward
26926,765,79,Phường 7,7,ward
